Date,France,Germany,Korea,US,UK
2020-04-13,125394,130072,10537,581810,89570
2020-04-14,130365,131359,10564,608845,94845
2020-04-15,133585,134753,10591,637974,99483
2020-04-16,146075,137698,10613,669272,104145
2020-04-17,148084,141397,10635,701996,109769
2020-04-18,148086,143342,10653,730317,115314
2020-04-19,153011,145184,10661,756375,121172
2020-04-20,155393,147065,10674,783716,125856
2020-04-21,158168,148291,10683,809213,130172
2020-04-22,155980,150648,10694,837414,134638
2020-04-23,158303,153129,10708,871617,139246
2020-04-24,159952,154999,10718,907908,144640
2020-04-25,161644,156513,10728,940829,149569
2020-04-26,162220,157770,10738,968517,154037
2020-04-27,165963,158758,10752,990993,158348
2020-04-28,169053,159912,10761,1015518,162350
2020-04-29,166543,161539,10765,1042926,166441
2020-04-30,167299,163009,10774,1072667,172481
2020-05-01,167305,164077,10780,1106829,178685
2020-05-02,168518,164967,10793,1136024,183500
2020-05-03,168925,165664,10801,1161611,187842
2020-05-04,169583,166152,10804,1184086,191832
2020-05-05,170687,167007,10806,1208271,196243
2020-05-06,174224,168162,10810,1233527,202359
2020-05-07,174918,169430,10822,1261409,207977
2020-05-08,176202,170588,10840,1288566,212629
2020-05-09,176782,171324,10874,1314306,216525
2020-05-10,177094,171879,10909,1334084,220449
2020-05-11,177547,172576,10936,1352962,224332
2020-05-12,178349,173171,10962,1374914,227741
2020-05-13,178184,174098,10991,1396109,230985
2020-05-14,178994,174478,11018,1423726,234440
2020-05-15,179630,175233,11037,1449026,238004
2020-05-16,179630,175752,11050,1474127,241461
2020-05-17,179693,176369,11065,1493131,244995
2020-05-18,180051,176551,11078,1514839,247709
2020-05-19,180933,177778,11110,1535337,250138
2020-05-20,181700,178473,11122,1558949,249619
2020-05-21,181951,179021,11142,1584486,252246
2020-05-22,182354,179710,11165,1608623,255544
2020-05-23,182694,179986,11190,1630450,258504
2020-05-24,182709,180328,11206,1651239,260916
2020-05-25,183067,180600,11225,1670209,262547
2020-05-26,182847,181200,11265,1689057,266599
2020-05-27,183038,181524,11344,1707423,268619
2020-05-28,186364,182196,11402,1730259,270508
2020-05-29,186923,182922,11441,1754747,272607
2020-05-30,188752,183189,11468,1778993,274219
2020-05-31,189009,183410,11503,1799122,276156
2020-06-01,189348,183594,11541,1816476,277736
2020-06-02,188450,183879,11590,1837367,279392
2020-06-03,192330,184121,11629,1857248,281270
2020-06-04,189569,184472,11668,1878543,283079
2020-06-05,190180,184924,11719,1903854,284734
2020-06-06,190759,185450,11776,1926538,286294
2020-06-07,191102,185750,11814,1944309,287621
2020-06-08,191313,186109,11852,1961781,288834
2020-06-09,191523,186506,11902,1979868,290581
2020-06-10,192068,186522,11947,2000702,291588
2020-06-11,192493,186691,12003,2023590,292860
2020-06-12,193220,187226,12051,2048986,294402
2020-06-13,193746,187267,12085,2074526,295828
2020-06-14,194153,187518,12121,2094058,297342
2020-06-15,194305,187682,12155,2114026,298315
2020-06-16,194347,188252,12198,2137731,299600
2020-06-17,194805,188604,12257,2163290,300717
2020-06-18,195272,189817,12306,2191052,301935
2020-06-19,196083,190299,12373,2222579,303285
2020-06-20,196724,190670,12421,2255297,304580
2020-06-21,197008,191272,12438,2281655,305803
2020-06-22,197381,191768,12484,2312302,306761
2020-06-23,197804,192480,12535,2347022,307682
